Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2015,Meredith R Weisel,Greater Capital Area Association of REALTORS,"Weisel Government Relations, LLC",,"1. Real Estate issues
2. Land use matters
3. Development and growth issues
4. Taxes
5. Energy efficiency",60910.00,58500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=362,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=362
2021,Andrea Mansfield,"AmplioSpeech, INc.",Manis Canning & Associates,,"Facilitate relationships with local education agencies to generate interest and identify procurement
opportunities",2000.00,500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2543,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2543
2016,Barbara A. Sears,Bethesda Land LLC,Linowes and Blocher LLP,,Bethesda Property,0.00,1530.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=593,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=593
2017,Heather Dlhopolsky,Bradford Place LLC,Linowes and Blocher LLP,,Greater Lyttonsville Sector Plan.,105.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=918,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=918
2016,Jody S. Kline,Brian Kline,"Miller, Miller & Canby",,Discuss potential annexation application with councilmembers.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=747,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=747
2015,"Elsie L.Reid, Esq.",Wonders Child Care,"Furey, Doolan & Abell, LLP","Robert E. Grant, Esq.",Concerning issues related to the Inter-Agency Coordinating Board and the Community Use of Public Facilities Office with respect to the allocation and award of facilities usage by childcare providers,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=325,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=325
2016,Steven A. Robins,"DRI Development Services, LLC","Lerch, Early & Brewer, Chtd.",,"Land use, zoning and real estate development matters.",1116.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=586,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=586
2017,"Robert G. Brewer, Jr.",Bernstein Management Corporation,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",4043.00,473.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=778,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=778
2023,Alberto Zegada,Alberto Zegada,"Pepco Holdings, Inc.",,All matters affecting the energy and utility industry.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2878,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2878
2021,Roger P. Manno,Steamfitters UA Local 602,Manno & Associates LLC,,"Matters generally relating to collective bargaining, project labor agreements, community benefit agreements, apprenticeship training, pensions and benefits, procurement, construction and infrastructure, and wage theft.",18125.00,18125.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2463,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2463
2023,William Kominers,"Blair Towers, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, pending legislation, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2813,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2813
2025,steve silverman,"Commodore Management Co.,Inc","SSGOVRELATIONS,LLC",,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3053,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3053
2025,steve silverman,"Stonebridge Acquistions,LLC","SSGOVRELATIONS,LLC",,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3059,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3059
2016,Steven. Silverman,Bozzuto & Associates,"SSGOVRELATIONS,LLC",,Real estate matters,12500.00,10416.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=648,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=648
2020,William Kominers,United Therapeutics Corporation,"Lerch, Early & Brewer, Chtd.",Susan M. Reutershan,"Zoning, master plans, and general land use matters.",0.00,4003.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2332,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2332
2016,Emily J. Vaias,St. John's Episcopal Church,"Linowes and Blocher, LLP",,Bethesda Master Plan,18625.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=669,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=669
2021,Roger P Manno,UA Plumbers & Gasfitters Local Union 5,Manno & Associates LLC,,"Matters generally relating to mechanical contracting, union construction, apprenticeship training, misclassification, workplace fraud, wage theft, etc.",0.00,12125.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2559,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2559
2018,Ashlie Bagwell,Wonders Child Care,Harris Jones & Malone,,Any and all matters related to the child care industry,9000.00,9000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1039,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1039
2023,Gino Renne,Gino Renne,UFCW Local 1994,"Lisa Blackwell-Brown, Amy Millar",To lobby issues pertaining to membership representational purposes and matters related to collective bargaining,2023.00,778.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2819,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2819
2025,steve silverman,"Washington Property Company,LLC","SSGOVRELATIONS,LLC",,real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3061,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3061
2021,Steven Silverman,Camalier Limited Partnership,SSGOVRELATIONS LLC,,Real estate,2082.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2490,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2490
2022,Caitlin McDonough,Housing Opportunities Commission of Montgomery Cou,Harris Jones & Malone,,Any and all matters related to housing in general and affordable housing in Montgomery County.,0.00,10000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2731,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2731
2014,Ellen Coren Bogage,RISE - Responsible Industry for a Sound Environmen,Chesapeake Public Strategies,,Issues related to pesticide use,7500.00,5000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=212,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=212
2019,Ashlie Bagwell,McDonald's Corporation,Harris Jones & Malone,,minimum wage; tipped credit; fast food restaurants,0.00,1000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2196,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2196
2024,"Robert G. Brewer, Jr.","Adventist HealthCare, Inc.","Lerch, Early & Brewer, Chtd.",,"Regulatory activities affecting Takoma Park Master Plan Amendment, Shady Grove Life Sciences Center & Shady Grove Medical Center, White Oak Medical Center, and Great Seneca Science Corridor Master Plan.",1647.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2978,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2978
2018,Andrew Nicklas,"Adventist HealthCare, Inc.","Adventist HealthCare, Inc.",,"Health, business, businesses development, land use, transportation, development, tax, economic, budget, and social issues.",5000.00,7289.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1032,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1032
2014,William Kominers,7272 Wisconsin Building Corp.,"Lerch, Early & Brewer, Chartered",Susan M. Reutershan,"Zoning, master plans, and general land use matters.",26942.00,221.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=232,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=232
2023,Steve Silverman,8600 Georgia LLC,SSGOVRELATIONS LLC,,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2779,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2779
2020,James Agliata,"Westfield, LLC","Westfield, LLC","Amirali Nasserian, John Marshall","Wheaton mall development projects.,Montgomery mall development projects.",6057.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2305,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2305
2014,Anne M. Mead,Fairmont Building LLC,Linowes and Blocher LLP,,7735 Old Georgetown Road-Zoning Rewrite and Downtown Bethesda Sector Plan,820.00,2358.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=218,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=218
2024,Scott C. Wallace,"Community Housing Initiative, Inc.",Miles & Stockbridge P.C.,,"13741 and 13751 Travilah Road, Potomac, Maryland",2025.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2993,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2993
2017,Thomas J. Maloney,"Marriott International, Inc.",Lobbyist,Erin Neill,"Sharing economy (ZTA 16-03; Bill No. 2-16),Headquarters relocation",600.00,14321.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=889,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=889
2025,William Ellis,"Pepco Holdings, LLC","Pepco Holdings, LLC",,All matters affecting the energy and utility industry.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3037,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3037
2020,"Emily J. Vaias, Counsel",Fivesquares Development,Ballard Spahr LLP,,Tax abatement bill,7900.00,4403.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2392,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2392
2019,LaTara Harris,AT&T,AT&T,Denis Dunn,All matters related to the telecommunications industry.,10000.00,10000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2270,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2270
2014,"Robert G. Brewer, Jr.","Adventist HealthCare, Inc.","Lerch, Early & Brewer, Chtd.",,"Regulatory activities affecting Shady Grove Life Sciences Center, Washington Adventist Hospital campus in Takoma Park, Maryland and Eastern Montgomery County Master Plan.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=235,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=235
2024,Camille Fesche,Bernstein Litowitz Berger & Grossmann LLP,Rifkin Weiner Livingston LLC,,"Assist and facilitate with the pursuit of opportunities to provide representation to pension fund boards in
Montgomery County.",128.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2960,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2960
2016,Eliza Cava,Audubon Naturalist Society,Audubon Naturalist Society,,"Environmental legislation and County administration of environmental laws, codes and policies. Clean Water Act implementation, stormwater permits, water quality protection fund, forest and tree protections, and watershed restoration. Citizen stewardship activities and partnerships.",0.00,6161.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=734,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=734
2016,Todd D. Brown,Greenhill Capital Corporation,"Shulman, Rogers, Gandal, Pordy & Ecker, PA",,"Bethesda Properties.
Downtown Bethesda Sector Plan and Associated Legislation.",0.00,2397.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=539,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=539
2017,William Kominers,Bethesda Place Limited Partnership,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",6902.00,334.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=947,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=947
2015,William Kominers,"Finmarc Management, Inc.","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=414,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=414
2018,Steven A. Silverman,"ERNA,LLC","SSGOVRELATIONS,LLC",,Real estate; economic dev incentives,0.00,7000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2154,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2154
2016,Robert J. Garagiola,Business Health Services,"Alexander & Cleaver, P.A.",,City and state procurement.,425.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=595,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=595
2015,Robert Zinsmeister,Associated Builders and Contractors of Metro Washi,ABC of Metro Washington,,"Procurement Issues
Labor/Management Issues
Construction Issues",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=525,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=525
2017,Patricia A. Harris,JBS Ventures LLC,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",3570.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=951,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=951
2025,steve silverman,Ross Companies,"SSGOVRELATIONS,LLC",,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3058,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3058
2017,Megan Michelle Eaves,Baltimore Gas and Electric Co,Baltimore Gas and Electric Co,,Registering as a lobbyist for Montgomery County.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=905,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=905
2023,Steven Silverman,"So What Else,Inc.","SSGOVRELATIONS,LLC",,Financial Support for SWE,7500.00,6000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2837,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2837
2022,Jane Lyons,"Coalition for Smarter Growth, Piedmont Environment","Coalition for Smarter Growth, Piedmont Environment",,"Housing and land use, including attainable housing and Silver Spring Downtown and Adjacent Communities Plan,Transportation, including bus service and I-495/I-270 managed lanes project,Thrive 2050",848.00,460.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2674,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2674
2014,Clive Mackenzie,"Westfield, LLC","Westfield, LLC","Brent Wise, Jim Agliata","Shopping Center Development.,Wheaton Costco Gas Station Development.,Montgomery County Entitlements.,Montgomery County Zoning Changes.",23048.00,23633.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=184,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=184
2015,Moira Moynihan,Town of Chevy Chase,"Alexander & Cleaver, P.A.",,Issues affecting the Town and metro access.,125.00,125.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=344,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=344
2020,Barbara Zektick,Maryland Alliance of YMCAs,"Alexander & Cleaver, P.A.",,"Legislative, budget, and committee actions of interest to the Coalition.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2370,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2370
2014,Jody S. Kline,Animal Eye Care Associates,"Miller, Miller & Canby",,Revised zoning ordinance and potential subsequent text amendments,0.00,6467.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=280,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=280
2018,"Nancy P. Regelin, Esquire","Lois Wheaton, LLC","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.","Lawrence A. Shulman, Esquire",Glenmont Redevelopment.,567.00,43.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1034,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1034
2016,Robert R. Harris,Tusculum Farm Trust,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plan, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=696,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=696
2020,Laura Toraldo,Crown Castle (MD5G Partnership),KO Public Affairs LLC,,"MD5G will advocate for growing Maryland�s innovation economy through communications infrastructure and next-generation networks, such as 5G.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2389,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2389
2023,Steve Silverman,Camalier Limited Partnership,"SSGOVRELATIONS,LLC",,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2775,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2775
2015,Steven Silverman,The Donohoe Companies Inc.,"SSGOVRELATIONS,LLC",,General matters relating to real estate,12499.00,8332.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=444,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=444
2023,C. Robert Dalrymple,Snell Properties,"Selzer Gurvitch Rabin Wertheimer & Polott, P.C.",Matthew M. Gordon,Bill 15-23 and 16-23,0.00,2205.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2863,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2863
2019,Ellen Valentino-Benitez,MD-DE-DC Beverage Assn.,VBA,,matters related to the soft drink beverage industry,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2210,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2210
2017,Patricia A. Harris,Federal Realty Investment Trust,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,1766.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2103,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2103
2021,Robin Jessica Clark,Chesapeake Bay Foundation,Chesapeake Bay Foundation,Erik Fisher,Local Forest Conservation law and policy,0.00,1775.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2574,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2574
2025,Eden Aaron,CASA,CASA,"Alex Vazquez, George Escobar, Kimberley Propeack","Multi-issue. Immigration, housing, transportation, healthcare, criminal justice, administrative, etc.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3071,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3071
2021,William Kominers,Starr Capital LLC,"Lerch, Early & Brewer, Chtd.",,ZTA 20-05,14302.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2509,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2509
2016,Lorenzo M. Bellamy,Dart Container Corporation,"Alexander & Cleaver, P.A.",,Regulation and laws regarding food and drink containers.,0.00,375.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=611,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=611
2016,Eric Gally,American Heart Association,Gally Public Affairs,,"Sugar free drinks in restaurant kids meals, healthy foods in county-owned vending machines, tax on sugary soft drinks",0.00,1000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=733,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=733
2017,Ashlie Bagwell,Chesapeake Employers' Insurance Company,Harris Jones & Malone,,"Any and all matters related to the insurance industry, specifically worker's compensation matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=949,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=949
2016,Steven Silverman,"TOWER CONSTRUCTION GROUP,LLC","SSGOVRELATIONS,LLC",,Real estate matters,8333.00,12500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=531,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=531
2020,Robert Gardner,"Neutron Holdings, Inc. dba Lime","Neutron Holdings, Inc. dba Lime",,"Dockless vehicle regulations,Terms and conditions in 2020 and 2021",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2379,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2379
2025,"Nancy P. Regelin, Esq.","Lois Wheaton, LLC","Shulman Rogers, P.A.",,Glenmont Redevelopment,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3041,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3041
2023,Joel Rozner,Bernstein Litowitz Berger & Grossmann LLP,Rifkin Weiner Livingston LLC,,Assist and facilitate with the pursuit of opportunities to provide representation to pension fund boards in Montgomery County.,1128.00,3000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2827,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2827
2015,Aaron Brand,"Uber Technologies, Inc.","Uber Technologies, Inc.","Colin Tooze, Zuhairah Washington, Jillian Irvin (end date 4/30/15)",Transportation Network Company Legislation.,1450.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=408,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=408
2022,David Linton,"Salient Capital Advisors, LLC","Salient Capital Advisors, LLC","Greg Reid, Ted Gardner",The principal and registered lobbyists provide investment advisory services.,1500.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2576,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2576
2020,Robert R. Harris,Brookfield Office Properties,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2323,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2323
2014,Emily J. Vaias,Kaiser Permanente,Linowes and Blocher LLP,Phillip Hummel,"White Oak Master Plan/Sectional Map Amendment,Zoning Rewrite ZTA/DMA-G-956",3790.00,6000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=289,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=289
2018,Lenace Edwards,Service Employees International Union Local 32BJ,SEIU Local 32BJ,,Full time hours for 32BJ Janitors,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2084,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2084
2021,Ashlie Bagwell,Verizon Communications,"Harris Jones & Malone, LLC",,Any and all matters related to the telecommunications industry,1000.00,1000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2475,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2475
2020,Josh White,Pavement Coatings,"Perry, White, Ross, Jacobson",,All matters relating to Pavement Coatings,250.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2308,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2308
2025,steve silverman,The Donaldson Group,"SSGOVRELATIONS,LLC",,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3045,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3045
